	(1)	(2)
VARIABLES	Margin	Margin
		
1bno._at	0	
	0	
		
		
	0 - 0	
2o._at	0	
	0	
		
		
	0 - 0	
3o._at	0	
	0	
		
		
	0 - 0	
4o._at	0	
	0	
		
		
	0 - 0	
5o._at	0	
	0	
		
		
	0 - 0	
1bn._at		0.067064***
		0.021696
		3.09108
		1.9943e-03
		0.024541 - 0.10959
2._at		0.10515***
		0.032627
		3.22287
		1.2691e-03
		0.041205 - 0.16910
3._at		0.12193***
		0.036301
		3.35900
		7.8224e-04
		0.050786 - 0.19308
4._at		0.10039***
		0.028907
		3.47281
		5.1504e-04
		0.043732 - 0.15705
5._at		0.061892***
		0.017578
		3.52096
		4.2999e-04
		0.027439 - 0.096345
		
Observations	7,246	7,246
*** p<0.01, ** p<0.05, * p<0.1		
